bangla,english,santali
সকালে সে পানি পান করে হ্রদে যাবে।,"In the morning, he/she drink the water and then go to the lake.",sɛt̪aʔɾɛ uni d̪aʔ ɲukat̪ɛ ɟɔlaɾɛ calaʔa.
তারা শ্রমিক ও এক প্রজাতির মাছ দেখবে।,They will see the navvy and the species of fish.,oŋko d̪ɔ beldaɾ aɾ badʰoɽ ɲɛla.
আমি ভাষা লিখব।,I will write the language.,iɲ d̪ɔ pɘɾsi ɔlɔʔa.
তাঁতের অংশটি গুরুত্বপূর্ণ।,The heddles of loom is important.,bade d̪ɔ ɟɘɾuɽa.
তোমাদের গুপ্তচর ছোট।,Your spy is small.,apɛaʔ baʈ paɽ d̪ɔ lɘʈua.
তোমরা টাকা পেয়েছ।,You all have gotten the money.,apɛ d̪ɔ ʈaka ɲamakada.
সকালে তুমি মাছ খেয়ে বাড়িতে খেলবে।,"In the morning, you eat the fish and then play in the house.",sɛt̪aʔɾɛ am haku ɟɔmkat̪ɛ ɔɽaʔɾɛ gat̪ea.
শহরে একটি নদী আছে।,There is a river in the town.,sɔhɔɽɾɛ gaɖa menaa.
শহরে একটি রোগ আছে।,There is an illness in the town.,sɔhɔɽɾɛ ɾu̯͡ɘ menaa.
তারা ভাষা লিখবে।,They will write the language.,oŋko d̪ɔ pɘɾsi ɔlɔʔa.
গানটি ভালো।,The song is good.,seɾeɲ d̪ɔ mɔ̃ɟa.
ঢালটি ভালো।,The declivity is good.,anaɽgo d̪ɔ mɔ̃ɟa.
আজ তোমরা অকাল জন্ম দেখে কুয়ায় কাজ করবে।,"Today, you all see the premature birth and then work in the well.",t̪eheɲɾɛ apɛ adpakolia ɲɛlkat̪ɛ kuɲɾɛ kɘmia.
গতকাল তুমি পাঠ পড়ে শহরে কাজ করবে।,"Yesterday, you study the lesson and then work in the town.",hɔlaɾɛ am sikʰnɘt̪ paɽha͡o̯kat̪ɛ sɔhɔɽɾɛ kɘmia.
সে ভাষা পড়বে।,He/she will study the language.,uni d̪ɔ pɘɾsi paɽha͡o̯a.
তারা কথা লিখবে না।,They do not write the word.,oŋko d̪ɔ kat̪ʰa bako ɔlɔʔa.
সে দুধ পান করবে না।,He/she does not drink the milk.,uni d̪ɔ t̪o̯͡a bai̯ ɲua.
গতকাল আমরা কথা পড়ে গ্রামে আসব।,"Yesterday, we study the word and then come to the village.",hɔlaɾɛ alɛ kat̪ʰa paɽha͡o̯kat̪ɛ at̪oɾɛ hiɟuʔa.
তোমার শিশু আনন্দের।,Your child is happy.,amaʔ gid̪ɾɘ d̪ɔ ɾɘskɘa.
সে খাবার খেয়েছে।,He/she has eaten the food.,uni d̪ɔ ɟɔmaʔ ɟɔmakada.
টাকাটি ভালো।,The money is good.,ʈaka d̪ɔ mɔ̃ɟa.
সে পাঠ পড়েছে।,He/she has studied the lesson.,uni d̪ɔ sikʰnɘt̪ paɽha͡o̯akada.
সে পড়ছে।,He/she is studying.,unii̯ paɽha͡o̯ɛd̪a.
সেই সময় তোমরা ঘড়ি কিনে স্কুলে আসবে।,"At that time, you all buy the watch and then come to the school.",ɔkt̪ɛɾɛ apɛ gʰuɽi kiɾiɲkat̪ɛ iskulɾɛ hiɟuʔa.
তারা পানি পান করেছিল।,They drank the water.,oŋkoko d̪aʔ ɲukeda.
আমরা কথা বলব না।,We do not speak the word.,alɛ d̪ɔ kat̪ʰa balɛ ɾɔɽa.
"তুমি খাবার বিক্রি করবে, কিন্তু মাছ বিক্রি করবে না।","You will sell the food, but do not sell the fish.",am d̪ɔ ɟɔmaʔ ɘkʰɾiɲa mɛnkʰan haku bam ɘkʰɾiɲa.
তোমরা মাছ খাবে।,You all will eat the fish.,apɛ d̪ɔ haku ɟɔma.
আজ তোমরা বাবা দেখে বাড়িতে খেলবে।,"Today, you all see the father and then play in the house.",t̪eheɲɾɛ apɛ apa ɲɛlkat̪ɛ ɔɽaʔɾɛ gat̪ea.
আমি বিড়াল দেখেছিলাম।,I saw the cat.,iɲiɲ pusi ɲɛlkeda.
গ্রামে একটি জীবন আছে।,There is a life in the village.,at̪oɾɛ ɟiŋgi menaa.
নদীতে একটি শুকর আছে।,There is a pig in the river.,gaɖaɾɛ suk̚ɾi menaa.
একটি বাসিন্দা কুয়ায় আছে।,One inhabitant is in the well.,mit̪ʔʈɛn baskitiə̯ d̪ɔ kuɲɾɛ menaa.
সে রান্না খেয়েছিল।,He/she ate the cooked food.,unii̯ basaŋ ɟɔmkeda.
তোমরা কাজ করছ।,You all are working.,apɛpɛ kɘmiɛd̪a.
সে রান্না খাবে।,He/she will eat the cooked food.,uni d̪ɔ basaŋ ɟɔma.
তোমরা কথা পড়েছিলে।,You all studied the word.,apɛpɛ kat̪ʰa paɽha͡o̯keda.
নিকটবর্তী এলাকাে একটি আতশবাজি আছে।,There is a fireworks in the vicinity.,aɖe ʈolaɾɛ bʰui̯t͡ʃampa menaa.
"তুমি রান্না খাবে, কিন্তু মাছ খাবে না।","You will eat the cooked food, but do not eat the fish.",am d̪ɔ basaŋ ɟɔma mɛnkʰan haku bam ɟɔma.
ভাইটি ছোট।,The brother is small.,baɾet d̪ɔ lɘʈua.
আমি ছবি পাব।,I will get the photo.,iɲ d̪ɔ pʰɔʈɔ ɲama.
গতকাল তোমরা ঘড়ি কিনে স্কুলে খেলবে।,"Yesterday, you all buy the watch and then play in the school.",hɔlaɾɛ apɛ gʰuɽi kiɾiɲkat̪ɛ iskulɾɛ gat̪ea.
আমরা অবিশ্বাসী দেখব না।,We do not see the heathen.,alɛ d̪ɔ bedin balɛ ɲɛla.
তোমরা ভাষা পড়বে।,You all will study the language.,apɛ d̪ɔ pɘɾsi paɽha͡o̯a.
সে মাছ বিক্রি করবে।,He/she will sell the fish.,uni d̪ɔ haku ɘkʰɾiɲa.
তারা কথা বলবে না।,They do not speak the word.,oŋko d̪ɔ kat̪ʰa bako ɾɔɽa.
তারা দুধ পান করেছে।,They have drunk the milk.,oŋko d̪ɔ t̪o̯͡a ɲuakada.
আমি ভাষা বলব না।,I do not speak the language.,iɲ d̪ɔ pɘɾsi bɘɲ ɾɔɽa.
বাসস্থানে একটি অজ্ঞতা আছে।,There is an ignorance in the dwelling place.,basɾɛ bʰut͡ʃ menaa.
গতকাল সে কথা লিখে নদীতে কাজ করবে।,"Yesterday, he/she write the word and then work in the river.",hɔlaɾɛ uni kat̪ʰa ɔlɔʔkat̪ɛ gaɖaɾɛ kɘmia.
তারা খাচ্ছে।,They are eating.,oŋkoko ɟɔmɛd̪a.
তুমি কেমন আছে?,How is you?,cɛt̪ʔlɛka menɛma.
সকালে তুমি গুজব রটনাকারী দেখে নদীতে কাজ করবে।,"In the morning, you see the gossiping and then work in the river.",sɛt̪aʔɾɛ am bəd͡ʒniə̯ ɲɛlkat̪ɛ gaɖaɾɛ kɘmia.
সে ঘড়ি বিক্রি করেছে।,He/she has sold the watch.,uni d̪ɔ gʰuɽi ɘkʰɾiɲakada.
তোমরা বিনিময় দেখবে না।,You all do not see the exchange.,apɛ d̪ɔ badla bapɛ ɲɛla.
আমরা ঔষধ কিনেছিলাম।,We bought the medicine.,alɛlɛ ɾan kiɾiɲkeda.
বাড়িটি নতুন।,The house is new.,ɔɽaʔ d̪ɔ nɔwaa.
আমরা ছবি পেয়েছি।,We have gotten the photo.,alɛ d̪ɔ pʰɔʈɔ ɲamakada.
তারা মা সাহায্য করবে।,They will help the mother.,oŋko d̪ɔ gɔgɔ gɔɽɔa.
আমরা ঔষধ ও মাছ কিনব।,We will buy the medicine and the fish.,alɛ d̪ɔ ɾan aɾ haku kiɾiɲa.
তারা ভাষা লিখেছিল।,They wrote the language.,oŋkoko pɘɾsi ɔlɔʔkeda.
একটি শিশু বাড়িতে আছে।,One baby is in the house.,mit̪ʔʈɛn bale d̪ɔ ɔɽaʔɾɛ menaa.
আমরা খাবার খাব।,We will eat the food.,alɛ d̪ɔ ɟɔmaʔ ɟɔma.
আমরা এখন কী করবে?,What will we do now?,nit̪ʔ cɛʔlɛ ceka ja.
"আমরা দুধ পান করব, কিন্তু পানি পান করব না।","We will drink the milk, but do not drink the water.",alɛ d̪ɔ t̪o̯͡a ɲua mɛnkʰan d̪aʔ balɛ ɲua.
তুমি খেলছ।,You is playing.,amɛm gat̪eɛd̪a.
আজ আমি চারা রোপণ দেখে শহরে যাব।,"Today, I see the transplantation and then go to the town.",t̪eheɲɾɛ iɲ apʰɔɾ ɲɛlkat̪ɛ sɔhɔɽɾɛ calaʔa.
তারা মোবাইল ফোন কিনবে না।,They do not buy the mobile phone.,oŋko d̪ɔ mɔbaĭl pʰon bako kiɾiɲa.
আমি ঘড়ি কিনব না।,I do not buy the watch.,iɲ d̪ɔ gʰuɽi bɘɲ kiɾiɲa.
আমি খাবার ও রান্না খাব।,I will eat the food and the cooked food.,iɲ d̪ɔ ɟɔmaʔ aɾ basaŋ ɟɔma.
পিঁপড়াটি আনন্দের।,The ant is happy.,muc̚ʔ d̪ɔ ɾɘskɘa.
লাভটি নতুন।,The profit is new.,baɾpʰəi̯ d̪ɔ nɔwaa.
আমরা খাবার ও মধু খাব।,We will eat the food and the honey.,alɛ d̪ɔ ɟɔmaʔ aɾ ɲɛlɛɾasa ɟɔma.
আমরা ডাক্তার সাহায্য করব।,We will help the doctor.,alɛ d̪ɔ ɖak̚t̪aɾ gɔɽɔa.
দয়া করে নদীতে অপেক্ষা করো।,Please wait in the river.,d̪a.ja kat̪ɛ gaɖaɾɛ t̪ɘŋgimɛ.
গানটি গুরুত্বপূর্ণ।,The song is important.,seɾeɲ d̪ɔ ɟɘɾuɽa.
সে অভিশাপ দেখেছিল।,He/she saw the curse.,unii̯ əsis ɲɛlkeda.
আমি খাবার খাব না।,I do not eat the food.,iɲ d̪ɔ ɟɔmaʔ bɘɲ ɟɔma.
আজ সে ভাষা লিখে নদীতে যাবে।,"Today, he/she write the language and then go to the river.",t̪eheɲɾɛ uni pɘɾsi ɔlɔʔkat̪ɛ gaɖaɾɛ calaʔa.
তোমার কষ্ট গুরুত্বপূর্ণ।,Your distress is important.,amaʔ alad͡ʒʰala d̪ɔ ɟɘɾuɽa.
তুমি ভাষা বলেছিলে।,You spoke the language.,amɛm pɘɾsi ɾɔɽkeda.
আমরা মধু খেয়েছিলাম।,We ate the honey.,alɛlɛ ɲɛlɛɾasa ɟɔmkeda.
আমরা মাছ বিক্রি করব না।,We do not sell the fish.,alɛ d̪ɔ haku balɛ ɘkʰɾiɲa.
আমি দুধ পান করব না।,I do not drink the milk.,iɲ d̪ɔ t̪o̯͡a bɘɲ ɲua.
বাসস্থানে একটি স্কুল আছে।,There is a school in the residence.,basaɾɛ iskul menaa.
তোমরা খাবার ও মাছ খাবে।,You all will eat the food and the fish.,apɛ d̪ɔ ɟɔmaʔ aɾ haku ɟɔma.
বাসস্থানে একটি কষ্ট আছে।,There is a distress in the dwelling place.,basɾɛ alad͡ʒʰala menaa.
গতকাল তোমরা দুধ পান করে নদীতে কাজ করবে।,"Yesterday, you all drink the milk and then work in the river.",hɔlaɾɛ apɛ t̪o̯͡a ɲukat̪ɛ gaɖaɾɛ kɘmia.
তারা কথা বলেছে।,They have spoken the word.,oŋko d̪ɔ kat̪ʰa ɾɔɽakada.
লজ্জাটি নতুন।,The shame is new.,bʰɔɾɔm d̪ɔ nɔwaa.
আমরা রান্না ও খাবার খাব।,We will eat the cooked food and the food.,alɛ d̪ɔ basaŋ aɾ ɟɔmaʔ ɟɔma.
গুহাে একটি টাকা আছে।,There is a money in the cave.,bʰugək̕ɾɛ ʈaka menaa.
আমি বাঁধ দেখেছি।,I have seen the embankment.,iɲ d̪ɔ band ɲɛlakada.
সেই সময় আমি ঘড়ি কিনে স্কুলে কাজ করব।,"At that time, I buy the watch and then work in the school.",ɔkt̪ɛɾɛ iɲ gʰuɽi kiɾiɲkat̪ɛ iskulɾɛ kɘmia.
ভাইটি ভালো।,The brother is good.,bɔ͡i̯ha d̪ɔ mɔ̃ɟa.
তোমার বাবা আনন্দের।,Your father is happy.,amaʔ baba d̪ɔ ɾɘskɘa.
আমরা ভাষা বলব না।,We do not speak the language.,alɛ d̪ɔ pɘɾsi balɛ ɾɔɽa.
বিস্তীর্ণ ভূমিে একটি পশুপাখির ডাক আছে।,There is a cry of beasts & c in the wide expanse of land.,bilənɾɛ aɳɖɾac̕ ɔɳɖɾɔc̕ menaa.
তোমার খাবার পরিষ্কার।,Your food is clean.,amaʔ ɟɔmaʔ d̪ɔ sapʰaa.
সে এখন কী করবে?,What will he/she do now?,nit̪ʔ cɛʔi̯ ceka ja.
সেই সময় তুমি ডিমের কুসুম দেখে নদীতে যাবে।,"At that time, you see the yolk of egg and then go to the river.",ɔkt̪ɛɾɛ am bele botke ɲɛlkat̪ɛ gaɖaɾɛ calaʔa.
শহরে একটি প্রাচুর্য আছে।,There is an abundance in the town.,sɔhɔɽɾɛ at͡ʃel pat͡ʃel menaa.
তুমি ডাক্তার সাহায্য করেছ।,You have helped the doctor.,am d̪ɔ ɖak̚t̪aɾ gɔɽɔakada.
তোমরা মোবাইল ফোন কিনবে।,You all will buy the mobile phone.,apɛ d̪ɔ mɔbaĭl pʰon kiɾiɲa.
শিশুটি ছোট।,The child is small.,gid̪ɾɘ d̪ɔ lɘʈua.
"তারা মাছ কিনবে, কিন্তু ঔষধ কিনবে না।","They will buy the fish, but do not buy the medicine.",oŋko d̪ɔ haku kiɾiɲa mɛnkʰan ɾan bako kiɾiɲa.
দয়া করে গ্রামে বসো।,Please sit in the village.,d̪a.ja kat̪ɛ at̪oɾɛ d̪uɽup̚ʔmɛ.
সেই সময় তুমি রান্না খেয়ে হ্রদে খেলবে।,"At that time, you eat the cooked food and then play in the lake.",ɔkt̪ɛɾɛ am basaŋ ɟɔmkat̪ɛ ɟɔlaɾɛ gat̪ea.
দয়া করে গ্রামে যাও।,Please go to the village.,d̪a.ja kat̪ɛ at̪oɾɛ calaʔmɛ.
আমি রান্না খাব।,I will eat the cooked food.,iɲ d̪ɔ basaŋ ɟɔma.
গুড়গুড় শব্দটি নতুন।,The rumbling sound is new.,aʈap̕ uʈup̕ d̪ɔ nɔwaa.
আজ তুমি পাঠ পড়ে বাড়িতে আসবে।,"Today, you study the lesson and then come to the house.",t̪eheɲɾɛ am sikʰnɘt̪ paɽha͡o̯kat̪ɛ ɔɽaʔɾɛ hiɟuʔa.
মহাপ্লাবনটি নতুন।,The deluge is new.,bajaban d̪ɔ nɔwaa.
তারা যাচ্ছে।,They are going.,oŋkoko calaʔɛd̪a.
আমরা ভাষা বলেছিলাম।,We spoke the language.,alɛlɛ pɘɾsi ɾɔɽkeda.
তারা ভাষা পড়বে।,They will study the language.,oŋko d̪ɔ pɘɾsi paɽha͡o̯a.
গতকাল আমরা রান্না খেয়ে শহরে আসব।,"Yesterday, we eat the cooked food and then come to the town.",hɔlaɾɛ alɛ basaŋ ɟɔmkat̪ɛ sɔhɔɽɾɛ hiɟuʔa.
তার পা গুরুত্বপূর্ণ।,His/her foot is important.,uniaʔ kaʈa d̪ɔ ɟɘɾuɽa.
তোমরা ডাক্তার সাহায্য করবে।,You all will help the doctor.,apɛ d̪ɔ ɖak̚t̪aɾ gɔɽɔa.
মুহূর্তটি ভালো।,The moment is good.,abʰeɽ d̪ɔ mɔ̃ɟa.
মোবাইল ফোনটি গুরুত্বপূর্ণ।,The mobile phone is important.,mɔbaĭl pʰon d̪ɔ ɟɘɾuɽa.
তোমরা মারা যাচ্ছ।,You all are dying.,apɛpɛ gɔc̚ʔɛd̪a.
আমাদের কাজ গুরুত্বপূর্ণ।,Our work is important.,alɛaʔ kɘmi d̪ɔ ɟɘɾuɽa.
তুমি খাবার পেয়েছিলে।,You got the food.,amɛm ɟɔmaʔ ɲamkeda.
তারা দুধ পান করবে না।,They do not drink the milk.,oŋko d̪ɔ t̪o̯͡a bako ɲua.
পাড়াে একটি পা আছে।,There is a foot in the neighbourhood.,aɖe paseɾɛ kaʈa menaa.
তারা পাচ্ছে।,They are getting.,oŋkoko ɲamɛd̪a.
আমি ফোঁপানি দেখব না।,I do not see the blubbering.,iɲ d̪ɔ beɲ bɘɲ ɲɛla.
তারা খাবার ও রান্না খাবে।,They will eat the food and the cooked food.,oŋko d̪ɔ ɟɔmaʔ aɾ basaŋ ɟɔma.
